9,14,5,12,7,7
5,6,4,9,3,4
9,13,8,14,11,11
6,8,4,8,6,6
1,6,7,11,8,9
4,6,8,16,2,3
6,8,2,10,6,7
4,11,3,7,5,6
6,11,3,10,7,7
7,12,8,13,8,8
8,15,5,16,3,3
8,13,5,10,6,7
5,8,6,14,12,12
6,9,3,11,6,6
5,8,3,8,0,0
6,9,4,12,0,0
2,4,9,16,10,11
1,1,3,6,8,8
5,12,4,8,4,4
6,7,8,11,4,4
5,9,9,15,7,9
6,8,5,9,1,4
8,13,3,10,4,6
3,14,6,13,14,14
8,13,2,9,6,7
8,9,2,5,3,5
5,8,2,6,10,11
3,6,2,8,4,4
5,11,1,4,6,6
1,3,6,13,3,4
1,1,1,5,0,0
7,11,5,10,1,1
2,5,4,8,1,1
4,7,4,11,6,6
4,7,8,14,6,7
7,16,4,11,5,6
8,13,5,12,7,7
1,2,8,16,0,0
6,11,7,15,5,6
5,6,7,12,4,4
5,9,3,9,6,6
3,4,8,15,9,9
6,11,6,9,7,7
1,4,3,7,3,3
4,8,5,11,0,0
2,6,3,11,0,0
8,13,11,15,2,3
9,17,1,9,5,5
5,8,7,16,4,4
4,7,5,10,3,4
5,10,7,13,0,0
2,7,3,8,10,12
9,11,5,11,3,3
8,17,6,12,8,8
10,12,10,15,1,1
2,8,12,16,6,8
7,10,5,15,4,5
5,10,1,10,5,5
7,11,7,13,6,6
1,3,3,9,1,2
6,9,7,14,1,2
5,8,7,16,4,4
6,7,4,9,3,4
4,7,8,13,2,2
6,14,6,12,1,1
3,6,1,12,5,5
4,8,2,9,5,6
8,13,4,10,5,6
4,6,5,12,10,11
5,7,2,9,4,5
3,12,6,8,2,2
6,13,5,10,4,5
1,5,8,14,3,3
4,8,9,13,4,4
3,11,4,14,3,3
8,12,3,7,2,2
4,8,3,14,0,0
9,13,4,9,7,7
5,5,10,19,6,6
